Age,Monthy Earnings,Gender,Home Loan,How much aware are you about solar?,How much do you expect to at least save on your average electricity bill by installing a solar panel system?,Marital Status,Rooms,New Floor,Budget,Percentage of roof dedicated,Workplace,Would you like to go for solar,Which city is your house at?
15-25,20000 - 70000,Male,No,3,>50%,Single,2,No,50000- 1 Lac,>75%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Kashipur
15-25,Less than 20000,Male,No,5,21% - 30%,Single,5+,No,Less than 50000,26-50%,Student,Saving 1000+/month saving on electricity bill after spending 45000/KW,Gurgaon
25-35,20000 - 70000,Male,Yes,2,21% - 30%,Single,3,No,Less than 50000,26-50%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Bangalore
15-25,Less than 20000,Male,No,4,31% - 40%,Single,5+,No,Less than 50000,<25%,Private,No I'd not like to buy solar,Mumbai
15-25,1 lakh +,Female,No,2,21% - 30%,Single,3,No,Less than 50000,26-50%,Studying PGPM,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Anekal
15-25,Less than 20000,Male,No,4,21% - 30%,Single,2,Yes,Less than 50000,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Bagewadi
15-25,Less than 20000,Male,No,5,>50%,Single,3,No,50000- 1 Lac,51-75%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Gorakhpur
15-25,20000 - 70000,Male,No,3,31% - 40%,Single,5+,No,50000- 1 Lac,26-50%,Government,No I'd not like to buy solar,Ranchi
25-35,Less than 20000,Male,No,1,10% - 20%,Married,2,No,Less than 50000,>75%,Government,No I'd not like to buy solar,Bangalore
15-25,Less than 20000,Male,No,3,31% - 40%,Single,2,No,Less than 50000,>75%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Hubli
15-25,20000 - 70000,Male,Yes,4,41% - 50%,Single,2,No,Less than 50000,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Banglore
25-35,1 lakh +,Male,No,4,10% - 20%,Single,3,No,50000- 1 Lac,<25%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Gangavati
15-25,20000 - 70000,Male,No,4,41% - 50%,Single,2,No,50000- 1 Lac,>75%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Addanki-523201
15-25,20000 - 70000,Female,No,3,10% - 20%,Single,5+,No,Less than 50000,51-75%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Kundapura
15-25,Less than 20000,Male,No,5,21% - 30%,Single,3,No,Less than 50000,<25%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,KanpurNagar
15-25,1 lakh +,Male,Yes,5,31% - 40%,Single,5+,Yes,50000- 1 Lac,>75%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Shivamogga
15-25,Less than 20000,Male,No,3,21% - 30%,Single,5+,No,1 Lac - 2 Lacs,51-75%,Business,No I'd not like to buy solar,Kolkata
15-25,Less than 20000,Male,No,2,>50%,Single,1,Yes,Less than 50000,>75%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Hyderabad
25-35,1 lakh +,Female,No,4,>50%,Married,5+,No,Less than 50000,<25%,Private,No I'd not like to buy solar,MUDHOL
15-25,70000- 1 lakh,Male,Yes,4,>50%,Single,5+,No,1 Lac - 2 Lacs,26-50%,Studying,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Hyderabad
25-35,20000 - 70000,Male,Yes,4,21% - 30%,Single,4,No,50000- 1 Lac,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Mudhol
15-25,Less than 20000,Male,No,4,31% - 40%,Single,4,Yes,Less than 50000,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Patna
25-35,20000 - 70000,Male,No,4,21% - 30%,Single,3,No,Less than 50000,<25%,Business,Saving 1000+/month saving on electricity bill after spending 45000/KW,NewDelhi
25-35,1 lakh +,Male,No,5,>50%,Single,5+,No,Less than 50000,<25%,None,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Gokak
15-25,70000- 1 lakh,Female,No,4,31% - 40%,Single,4,Yes,50000- 1 Lac,51-75%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Hyderabad
25-35,20000 - 70000,Male,Yes,3,>50%,Single,4,No,Less than 50000,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Kolkata
25-35,20000 - 70000,Female,No,3,41% - 50%,Single,4,No,Less than 50000,<25%,Private,No I'd not like to buy solar,Mumbai
15-25,1 lakh +,Male,No,2,10% - 20%,Single,2,No,Less than 50000,<25%,Business,Saving 1000+/month saving on electricity bill after spending 45000/KW,GAJWEL
15-25,1 lakh +,Male,No,3,10% - 20%,Single,5+,Yes,1 Lac - 2 Lacs,26-50%,Student,Saving 1000+/month saving on electricity bill after spending 45000/KW,Chandigarh
15-25,70000- 1 lakh,Male,No,5,41% - 50%,Single,4,No,50000- 1 Lac,>75%,Coaching institute,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Visakhapatnam
15-25,1 lakh +,Female,No,3,21% - 30%,Single,5+,No,50000- 1 Lac,<25%,Student,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Mahabubnagar
25-35,70000- 1 lakh,Male,Yes,3,31% - 40%,Single,5+,No,Less than 50000,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Kolkata
15-25,70000- 1 lakh,Male,No,4,31% - 40%,Single,2,No,Less than 50000,26-50%,Studying,No I'd not like to buy solar,Sawantwadi
15-25,Less than 20000,Male,No,5,31% - 40%,Single,2,No,Less than 50000,<25%,Business,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Kharagpur
15-25,20000 - 70000,Male,No,4,41% - 50%,Single,1,No,Less than 50000,<25%,University,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Patna
25-35,1 lakh +,Male,No,5,41% - 50%,Single,4,No,50000- 1 Lac,26-50%,Private,No I'd not like to buy solar,Anekal
15-25,20000 - 70000,Female,Yes,2,21% - 30%,Single,2,Yes,Less than 50000,26-50%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Pune
25-35,Less than 20000,Male,No,2,>50%,Single,3,No,Less than 50000,<25%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,Rajouri
25-35,1 lakh +,Male,No,3,>50%,Single,5+,No,50000- 1 Lac,<25%,Student,No I'd not like to buy solar,Hyderabad
15-25,20000 - 70000,Male,No,5,10% - 20%,Single,3,No,50000- 1 Lac,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Kolkata
15-25,70000- 1 lakh,Female,No,5,31% - 40%,Single,4,No,Less than 50000,26-50%,Jobless,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Langerhouse
15-25,Less than 20000,Male,No,3,10% - 20%,Single,3,No,Less than 50000,26-50%,Student,Saving 1000+/month saving on electricity bill after spending 45000/KW,Hyderabad
15-25,20000 - 70000,Male,No,2,21% - 30%,Single,4,No,50000- 1 Lac,<25%,Student,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,THANEWest
25-35,1 lakh +,Female,No,3,>50%,Single,2,No,50000- 1 Lac,<25%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Hyderabad
25-35,20000 - 70000,Male,No,2,31% - 40%,Single,3,Yes,50000- 1 Lac,>75%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,vijayapur
15-25,20000 - 70000,Male,No,4,41% - 50%,Single,3,Yes,Less than 50000,<25%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Kandukur
15-25,Less than 20000,Male,No,5,>50%,Single,3,No,50000- 1 Lac,26-50%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Hyderabad
25-35,20000 - 70000,Female,No,4,41% - 50%,Single,3,No,1 Lac - 2 Lacs,<25%,Private,No I'd not like to buy solar,Newdelhi
15-25,1 lakh +,Male,Yes,4,21% - 30%,Single,3,No,Less than 50000,<25%,Business,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Jamshedpur
25-35,20000 - 70000,Male,No,3,21% - 30%,Single,3,No,Less than 50000,26-50%,Student,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Visakhapatnam
15-25,20000 - 70000,Male,Yes,4,31% - 40%,Single,5+,No,Less than 50000,51-75%,Student,Saving 1000+/month saving on electricity bill after spending 45000/KW,Rajkot
15-25,70000- 1 lakh,Male,No,3,21% - 30%,Single,3,No,Less than 50000,<25%,Student,No I'd not like to buy solar,Rangareddy
25-35,Less than 20000,Male,No,3,>50%,Single,4,No,Less than 50000,26-50%,Student,Saving 1000+/month saving on electricity bill after spending 45000/KW,Dhamtari
15-25,20000 - 70000,Male,No,5,31% - 40%,Single,5+,No,Less than 50000,<25%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Hyderabad
25-35,20000 - 70000,Male,No,3,21% - 30%,Married,4,No,Less than 50000,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Hyderabad
15-25,1 lakh +,Male,No,3,31% - 40%,Single,4,No,50000- 1 Lac,26-50%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Secunderabad
15-25,20000 - 70000,Male,No,4,10% - 20%,Single,2,No,Less than 50000,<25%,Studying in an educational institution,Saving 1000+/month saving on electricity bill after spending 45000/KW,Srikakulam
25-35,20000 - 70000,Male,No,5,21% - 30%,Single,3,No,Less than 50000,26-50%,Not employed (pursuing MBA),Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Visakhapatnam
25-35,70000- 1 lakh,Male,Yes,3,21% - 30%,Single,3,No,50000- 1 Lac,26-50%,College,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Venkatagiri
15-25,20000 - 70000,Male,No,4,21% - 30%,Single,4,No,50000- 1 Lac,<25%,Student,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,VISAKHAPATNAM
15-25,70000- 1 lakh,Male,No,5,31% - 40%,Single,3,No,1 Lac - 2 Lacs,51-75%,NA,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Karimnagar
15-25,20000 - 70000,Male,No,5,31% - 40%,Single,5+,No,Less than 50000,>75%,Business,Saving 1000+/month saving on electricity bill after spending 45000/KW,Hyderabad
25-35,1 lakh +,Male,Yes,3,21% - 30%,Married,4,No,1 Lac - 2 Lacs,>75%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Hyderabad
15-25,20000 - 70000,Male,No,3,21% - 30%,Single,3,No,1 Lac - 2 Lacs,51-75%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Hanamkonda
15-25,Less than 20000,Male,No,3,21% - 30%,Single,4,Yes,Less than 50000,26-50%,Student,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Delhi
15-25,Less than 20000,Male,No,5,31% - 40%,Single,2,No,Less than 50000,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Khammam
15-25,20000 - 70000,Male,No,2,21% - 30%,Single,2,Yes,Less than 50000,51-75%,Business,Saving 1000+/month saving on electricity bill after spending 45000/KW,Aligarh
15-25,1 lakh +,Male,No,4,31% - 40%,Single,3,No,50000- 1 Lac,<25%,Government,No I'd not like to buy solar,Newdelhi
25-35,20000 - 70000,Male,No,2,31% - 40%,Single,2,Yes,Less than 50000,<25%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Hyderabad
15-25,20000 - 70000,Male,No,4,21% - 30%,Single,3,Yes,Less than 50000,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Madhubani
25-35,20000 - 70000,Male,No,4,41% - 50%,Single,3,No,Less than 50000,<25%,Student,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Gaziabad
25-35,1 lakh +,Female,No,3,31% - 40%,Married,4,No,Less than 50000,>75%,Professional,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Vizag
15-25,1 lakh +,Male,Yes,4,31% - 40%,Single,3,No,50000- 1 Lac,26-50%,Student,Saving 1000+/month saving on electricity bill after spending 45000/KW,Bangalore
25-35,20000 - 70000,Male,No,3,21% - 30%,Single,2,No,Less than 50000,<25%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Bangalore
25-35,1 lakh +,Male,No,4,10% - 20%,Single,5+,No,Less than 50000,26-50%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Chatra
15-25,20000 - 70000,Male,No,5,10% - 20%,Single,5+,No,Less than 50000,51-75%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,Sikar
15-25,20000 - 70000,Female,No,4,31% - 40%,Single,5+,No,Less than 50000,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Hubli
25-35,20000 - 70000,Male,No,3,21% - 30%,Single,4,No,Less than 50000,<25%,Government,No I'd not like to buy solar,Kashipur
25-35,20000 - 70000,Male,No,2,31% - 40%,Single,3,No,Less than 50000,<25%,NA,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Alleppey
25-35,70000- 1 lakh,Male,Yes,3,31% - 40%,Single,5+,Yes,50000- 1 Lac,26-50%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Kittur
15-25,1 lakh +,Male,No,5,>50%,Single,4,Yes,Less than 50000,51-75%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,Nagpur
25-35,20000 - 70000,Female,No,4,21% - 30%,Married,3,No,Less than 50000,>75%,Not Working,No I'd not like to buy solar,Solapur
25-35,20000 - 70000,Female,No,1,41% - 50%,Single,5+,Yes,Less than 50000,<25%,Business,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Bhopal
15-25,20000 - 70000,Male,Yes,5,31% - 40%,Single,5+,Yes,1 Lac - 2 Lacs,>75%,Business,No I'd not like to buy solar,Azamgarh
15-25,Less than 20000,Male,No,1,21% - 30%,Single,2,No,Less than 50000,26-50%,Private,No I'd not like to buy solar,Mysore
25-35,70000- 1 lakh,Male,No,5,21% - 30%,Single,2,No,Less than 50000,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Bangalore
15-25,1 lakh +,Male,No,4,21% - 30%,Single,3,No,50000- 1 Lac,51-75%,Student,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Trivandrum
15-25,20000 - 70000,Male,Yes,5,31% - 40%,Single,3,No,Less than 50000,51-75%,Student,Saving 1000+/month saving on electricity bill after spending 45000/KW,Hosur
25-35,20000 - 70000,Male,No,3,21% - 30%,Single,5+,No,Less than 50000,<25%,Infosys,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Sangamvihar
15-25,1 lakh +,Male,No,3,10% - 20%,Single,4,Yes,50000- 1 Lac,>75%,Padhaku h ,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Faridabad
25-35,20000 - 70000,Male,Yes,5,31% - 40%,Single,4,No,Less than 50000,>75%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Coimbatore
15-25,20000 - 70000,Male,Yes,3,10% - 20%,Single,5+,No,Less than 50000,<25%,Private,No I'd not like to buy solar,NaviMumbai
15-25,70000- 1 lakh,Male,No,3,21% - 30%,Single,4,No,Less than 50000,<25%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,Tirunelveli
15-25,20000 - 70000,Male,Yes,1,41% - 50%,Single,5+,No,Less than 50000,<25%,Government,No I'd not like to buy solar,Chennai
15-25,20000 - 70000,Male,Yes,3,21% - 30%,Single,4,No,Less than 50000,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Chennai
15-25,20000 - 70000,Male,Yes,3,31% - 40%,Single,4,No,Less than 50000,26-50%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Dindigul
15-25,1 lakh +,Male,Yes,4,21% - 30%,Single,5+,No,50000- 1 Lac,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Moradabad
15-25,70000- 1 lakh,Male,Yes,5,>50%,Single,5+,No,50000- 1 Lac,26-50%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Mudhol
25-35,20000 - 70000,Male,Yes,3,31% - 40%,Single,4,No,Less than 50000,>75%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,
15-25,20000 - 70000,Female,No,4,31% - 40%,Single,3,No,50000- 1 Lac,51-75%,Business,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Chennai
15-25,20000 - 70000,Male,Yes,4,21% - 30%,Single,4,Yes,50000- 1 Lac,51-75%,I'm currently pursuing MBA,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Singhbhum
15-25,1 lakh +,Female,No,5,31% - 40%,Single,2,No,Less than 50000,<25%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Hyderabad
35-60,20000 - 70000,Male,Yes,4,31% - 40%,Married,5+,No,50000- 1 Lac,26-50%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,Delhi
15-25,20000 - 70000,Male,No,3,21% - 30%,Single,2,No,Less than 50000,<25%,Student,No I'd not like to buy solar,Visakhapatnam
25-35,20000 - 70000,Male,Yes,3,21% - 30%,Single,3,No,Less than 50000,<25%,Student,Saving 1000+/month saving on electricity bill after spending 45000/KW,Lucknow
15-25,20000 - 70000,Female,Yes,3,21% - 30%,Single,4,No,Less than 50000,26-50%,Student,No I'd not like to buy solar,Jaipur
15-25,70000- 1 lakh,Male,No,4,21% - 30%,Single,5+,No,50000- 1 Lac,<25%,Student,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Bhopal
15-25,Less than 20000,Male,No,1,>50%,Single,5+,No,Less than 50000,>75%,Student ,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,NewDelhi
15-25,70000- 1 lakh,Female,No,3,>50%,Single,2,No,Less than 50000,<25%,Private,No I'd not like to buy solar,Bhopal
25-35,Less than 20000,Female,Yes,1,41% - 50%,Single,4,No,Less than 50000,<25%,Coaching class,No I'd not like to buy solar,Sedam
15-25,Less than 20000,Male,No,4,10% - 20%,Single,4,No,Less than 50000,26-50%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Chennai
25-35,20000 - 70000,Male,No,3,31% - 40%,Single,2,No,Less than 50000,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Kashipur
15-25,1 lakh +,Male,No,3,31% - 40%,Single,4,No,Less than 50000,26-50%,No,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Mumbai
15-25,1 lakh +,Male,No,5,31% - 40%,Single,3,No,50000- 1 Lac,26-50%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Coimbatore
25-35,20000 - 70000,Male,No,5,31% - 40%,Single,2,No,Less than 50000,26-50%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Jamkhandi
15-25,Less than 20000,Male,No,4,>50%,Single,5+,No,Less than 50000,>75%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,NewDelhi
15-25,20000 - 70000,Male,No,2,21% - 30%,Single,2,No,Less than 50000,<25%,Student,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Faridabad
15-25,70000- 1 lakh,Male,No,4,31% - 40%,Single,4,No,Less than 50000,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Chennai
15-25,20000 - 70000,Male,Yes,3,21% - 30%,Single,3,No,Less than 50000,26-50%,Student ,Saving 1000+/month saving on electricity bill after spending 45000/KW,Warangal
15-25,Less than 20000,Female,No,3,31% - 40%,Married,3,No,50000- 1 Lac,<25%,Business,Saving 1000+/month saving on electricity bill after spending 45000/KW,Trichy
25-35,20000 - 70000,Male,No,4,21% - 30%,Single,3,No,50000- 1 Lac,26-50%,Private,No I'd not like to buy solar,Hyderabad
15-25,1 lakh +,Male,No,5,10% - 20%,Single,5+,No,2 Lacs +,<25%,Business,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Hyderabad
25-35,20000 - 70000,Male,Yes,3,21% - 30%,Single,2,No,Less than 50000,26-50%,Student ,Saving 1000+/month saving on electricity bill after spending 45000/KW,Nagpur
15-25,70000- 1 lakh,Male,No,3,10% - 20%,Single,5+,No,Less than 50000,<25%,Private,No I'd not like to buy solar,Chennai
25-35,70000- 1 lakh,Male,No,5,21% - 30%,Single,2,No,Less than 50000,<25%,Business,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,BENGALURU
15-25,20000 - 70000,Male,No,4,21% - 30%,Single,1,No,Less than 50000,26-50%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Mudhol
15-25,20000 - 70000,Male,No,5,10% - 20%,Single,3,No,Less than 50000,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Lucknow
25-35,1 lakh +,Male,Yes,4,21% - 30%,Single,5+,No,50000- 1 Lac,<25%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,Chennai
25-35,1 lakh +,Male,No,3,31% - 40%,Single,2,No,50000- 1 Lac,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Madurai
25-35,20000 - 70000,Male,No,3,31% - 40%,Married,4,No,50000- 1 Lac,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Midnapore
25-35,Less than 20000,Male,No,3,21% - 30%,Single,5+,No,Less than 50000,<25%,Student,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Kolkata
25-35,70000- 1 lakh,Male,No,2,21% - 30%,Single,3,No,Less than 50000,<25%,Business,No I'd not like to buy solar,NewDelhi
15-25,20000 - 70000,Male,No,5,31% - 40%,Single,4,No,1 Lac - 2 Lacs,<25%,Government,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Hyderabad
15-25,Less than 20000,Male,No,3,41% - 50%,Single,2,No,Less than 50000,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Bangalore
25-35,1 lakh +,Male,No,3,41% - 50%,Single,3,No,Less than 50000,26-50%,Private,No I'd not like to buy solar,Pune
15-25,1 lakh +,Male,No,5,31% - 40%,Single,3,No,Less than 50000,<25%,Business,No I'd not like to buy solar,Hyderabad
15-25,20000 - 70000,Female,No,3,10% - 20%,Single,4,No,Less than 50000,26-50%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Amravatimaharashtra
25-35,70000- 1 lakh,Male,No,4,31% - 40%,Single,5+,No,50000- 1 Lac,26-50%,IIM Kashipur ,Saving 1000+/month saving on electricity bill after spending 45000/KW,Pune
25-35,20000 - 70000,Male,No,3,21% - 30%,Single,5+,No,Less than 50000,26-50%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Bangalore
15-25,20000 - 70000,Male,No,5,31% - 40%,Single,3,No,50000- 1 Lac,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Hyderabad
25-35,1 lakh +,Male,No,3,31% - 40%,Single,5+,No,1 Lac - 2 Lacs,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Bangalore
15-25,70000- 1 lakh,Male,No,2,21% - 30%,Single,4,No,Less than 50000,<25%,College,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Hyderabad
25-35,70000- 1 lakh,Male,Yes,2,21% - 30%,Married,3,No,50000- 1 Lac,51-75%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Hyderabad
25-35,Less than 20000,Male,No,3,21% - 30%,Single,3,No,Less than 50000,26-50%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Hyd
25-35,1 lakh +,Male,No,3,31% - 40%,Single,4,No,Less than 50000,26-50%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Newdelhi
15-25,70000- 1 lakh,Male,Yes,4,21% - 30%,Single,3,No,Less than 50000,<25%,Business,No I'd not like to buy solar,Bangalore
25-35,Less than 20000,Female,Yes,1,10% - 20%,Married,2,No,Less than 50000,<25%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,NaviMumbai
25-35,20000 - 70000,Male,No,2,21% - 30%,Single,3,No,50000- 1 Lac,<25%,Student,Saving 1000+/month saving on electricity bill after spending 45000/KW,Bangalore
15-25,20000 - 70000,Female,No,4,41% - 50%,Single,2,Yes,Less than 50000,<25%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Delhi
15-25,Less than 20000,Male,No,3,21% - 30%,Single,4,No,Less than 50000,26-50%,Business,No I'd not like to buy solar,Hyderabad
25-35,20000 - 70000,Male,No,5,31% - 40%,Single,3,No,50000- 1 Lac,<25%,Private,No I'd not like to buy solar,Hyderabad
25-35,20000 - 70000,Male,No,4,>50%,Married,4,No,Less than 50000,<25%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Bangalore
15-25,20000 - 70000,Male,No,3,41% - 50%,Single,1,No,Less than 50000,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Hyderabad
25-35,20000 - 70000,Male,No,3,21% - 30%,Single,3,No,Less than 50000,<25%,Private,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Hyderabad
25-35,70000- 1 lakh,Male,No,4,10% - 20%,Single,3,No,Less than 50000,<25%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Hyderabad
25-35,20000 - 70000,Female,Yes,3,>50%,Single,5+,No,50000- 1 Lac,>75%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,
25-35,1 lakh +,Female,Yes,2,21% - 30%,Married,4,No,Less than 50000,26-50%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Hyderabad
25-35,20000 - 70000,Female,Yes,2,>50%,Single,3,No,50000- 1 Lac,>75%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Hyderabad
15-25,20000 - 70000,Female,No,3,41% - 50%,Single,4,No,Less than 50000,51-75%,Private,Saving 1000+/month saving on electricity bill after spending 45000/KW,Anekal
15-25,20000 - 70000,Male,No,3,21% - 30%,Single,2,No,Less than 50000,26-50%,Student,Saving 1000+/month saving on electricity bill after spending 45000/KW,Patna
15-25,20000 - 70000,Male,No,4,21% - 30%,Single,3,Yes,50000- 1 Lac,26-50%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,Bangalore
25-35,Less than 20000,Female,No,3,21% - 30%,Married,1,Yes,Less than 50000,<25%,Private,No I'd not like to buy solar,Delhi
15-25,1 lakh +,Male,No,4,21% - 30%,Single,4,No,Less than 50000,<25%,Business,No I'd not like to buy solar,PaschimVihar
15-25,70000- 1 lakh,Female,No,3,31% - 40%,Single,3,No,Less than 50000,26-50%,Business,No I'd not like to buy solar,Indore
15-25,70000- 1 lakh,Male,No,4,21% - 30%,Single,4,No,Less than 50000,51-75%,I am a student,Avail solar electricity at 50% down payment and rest in 6 month EMI's at 0% interest,Faridabad
25-35,20000 - 70000,Male,No,5,10% - 20%,Single,4,Yes,Less than 50000,<25%,Government,Saving 1000+/month saving on electricity bill after spending 45000/KW,Kashipur
